ApiKey,ApiKeyId,PK_AKE_ApiKeys,613577224,2017-05-30 15:50:47.590,2017-05-30 15:50:47.590,1
ApiRequestLog,ApiRequesLogtId,PK_ApiRequest,645577338,2017-05-30 15:50:47.610,2017-05-30 15:50:47.610,1
Application,ApplicationId,PK_APP_Applications,677577452,2017-05-30 15:50:47.613,2017-05-30 15:50:47.613,1
CLI_Clients,CLI_cID,PK_CLI_Clients,709577566,2017-05-30 15:50:47.623,2017-05-30 15:50:47.623,1
Company,CompanyId,PK_USC_Company,741577680,2017-05-30 15:50:47.633,2017-05-30 15:50:47.633,1
CSE_ClientSensors,CSE_cID,PK_CSE_ClientSensors,773577794,2017-05-30 15:50:47.633,2017-05-30 15:50:47.633,1
DON_DomainName,DON_lID,PK_DON_DomainName,805577908,2017-05-30 15:50:47.643,2017-05-30 15:50:47.643,1
FDC_FormDefinitionVersionClients,FDC_iID,PK_FDC_FormDefinitionVersionClients,837578022,2017-05-30 15:50:47.650,2017-05-30 15:50:47.650,1
FDV_FormDefinitionVersions,FDV_cID,PK_FDV_FormDefinitionVersions,869578136,2017-05-30 15:50:47.653,2017-05-30 15:50:47.653,1
FOD_FormDefinitions,FOD_cID,PK_FOD_FormDefinitions,901578250,2017-05-30 15:50:47.660,2017-05-30 15:50:47.660,1
FST_FormSyncTasks,FST_iID,PK_FST_FormSyncTasks,933578364,2017-05-30 15:50:47.660,2017-05-30 15:50:47.660,1
HFD_HistoryFormDefinitionVersions,HFD_iNoSeq,PK_HFD_HistoryFormDefinitionVersions,965578478,2017-05-30 15:50:47.663,2017-05-30 15:50:47.663,1
IPS_IpServers,IPS_iID,PK_IPS_IpServers,997578592,2017-05-30 15:50:47.667,2017-05-30 15:50:47.667,1
KitTemplate,KitTemplateId,PK_KitTemplate,1029578706,2017-05-30 15:50:47.677,2017-05-30 15:50:47.677,1
KitTemplateAttribute,KitTemplateAttributeId,PK_KitTemplateAttribute,1061578820,2017-05-30 15:50:47.680,2017-05-30 15:50:47.680,1
KitTemplateMeasureDefinition,KitTemplateMeasureDefinitionId,PK_KitTemplateMeasureDefinition,1093578934,2017-05-30 15:50:47.683,2017-05-30 15:50:47.683,1
LOE_LogExceptions,LOE_iNoSeq,PK_LOE_LogExceptions,1125579048,2017-05-30 15:50:47.687,2017-05-30 15:50:47.687,1
PRE_Preferences,PRE_iID,PK_PRE_Preferences,1157579162,2017-05-30 15:50:47.693,2017-05-30 15:50:47.693,1
Right,RightId,PK_RIG_Rights,1189579276,2017-05-30 15:50:47.697,2017-05-30 15:50:47.697,1
RightAction,RightActionId,PK_RIA_RightActions,1221579390,2017-05-30 15:50:47.700,2017-05-30 15:50:47.700,1
SER_Servers,SER_cID,PK_SER_Servers,1253579504,2017-05-30 15:50:47.703,2017-05-30 15:50:47.703,1
UNO_UserNotices,UNO_cID,PK_UNO_UserNotices,1285579618,2017-05-30 15:50:47.707,2017-05-30 15:50:47.707,1
USE_Users,USE_cID,PK_USE_Users,1317579732,2017-05-30 15:50:47.710,2017-05-30 15:50:47.710,1
UserAccount,UserAccountId,PK_UserAccount_UserAccountid,1349579846,2017-05-30 15:50:47.717,2017-05-30 15:50:47.717,1
UserAccountClient,UserAccountClientId,PK_UAC_UserAccountClients,1381579960,2017-05-30 15:50:47.727,2017-05-30 15:50:47.727,1
UserAccountGroup,UserAccountGroupId,PK_UAG_UserAccountGroups,1413580074,2017-05-30 15:50:47.730,2017-05-30 15:50:47.730,1
VER_Versions,VER_cID,PK_VER_Versions,1445580188,2017-05-30 15:50:47.733,2017-05-30 15:50:47.733,1
