[dbo].[LOE_LogExceptions],54946
[dbo].[USE_Users],5402
[dbo].[ApiKey],1894
[dbo].[UserAccount],1452
[dbo].[UserAccountClient],1387
[dbo].[Company],1000
[dbo].[CSE_ClientSensors],582
[dbo].[CLI_Clients],337
[dbo].[SER_Servers],201
[dbo].[KitTemplateMeasureDefinition],87
[dbo].[FST_FormSyncTasks],53
[dbo].[KitTemplateAttribute],10
[dbo].[KitTemplate],5
[dbo].[RightAction],5
[dbo].[PRE_Preferences],3
[dbo].[UserAccountGroup],3
[dbo].[Application],3
[dbo].[DON_DomainName],1
[dbo].[IPS_IpServers],1
[dbo].[FDV_FormDefinitionVersions],1
[dbo].[FOD_FormDefinitions],1
[dbo].[VER_Versions],1
[dbo].[Right],1
[dbo].[UNO_UserNotices],1
[dbo].[HFD_HistoryFormDefinitionVersions],0
[dbo].[FDC_FormDefinitionVersionClients],0
[dbo].[ApiRequestLog],0
